segment,n,r_squared,beta_familiarity,sig_familiarity,beta_opinion,sig_opinion,beta_consideration,sig_consideration,beta_Core TDL Experience,sig_Core TDL Experience,beta_Value Accessibility,sig_Value Accessibility,beta_Thrills Innovation,sig_Thrills Innovation,beta_Family Kids Focus,sig_Family Kids Focus
A. Young Families,220,0.6896379856396108,0.06250822486213858,False,0.15098137130352546,True,0.6135356678220608,True,0.06380037752947239,False,0.09046453131764909,True,-0.03604491838568318,False,0.00354417137357102,False
B. Older Families,218,0.6463833150546382,-0.10365717577830942,False,0.2151608614668651,True,0.5219303201731229,True,0.21362056894141654,True,0.07851797695042723,False,-0.00021181338990072327,False,0.04378279283721442,False
C. Adults 18-34 (no kids in HH),220,0.6511377496119393,0.2669079389568725,True,0.07708038348134368,False,0.4770750762312273,True,0.08775970538835724,False,0.03723072790871287,False,0.08175095492062096,True,0.09482951278531371,True
D. Couples 18-34 (no kids in HH),217,0.7004164917292743,0.0176383953771785,False,0.1846900167205412,True,0.5855705109328869,True,0.1106949761992751,False,0.0705680692004479,False,0.0743584657778124,False,0.04191717370226398,False
E. Adults 35+ (no kids in HH),221,0.7604128984231677,0.1298561591871137,True,-0.012891106041370516,False,0.6848719949721456,True,0.13911488906317732,True,0.05944310944346382,False,-0.018886945669086885,False,-0.08323173019322602,True
