predictor,raw_coef,std_coef,p_value,significant
Familiarity,0.11381603969667171,0.10602954363419573,7.816915351511852e-06,True
Opinion,0.004395383690040603,0.027086439175932713,0.1190642603903147,False
Consideration,0.6896210997727067,0.6171536059770701,1.2115817356734762e-105,True
Disney Magic,-0.14021940435265604,-0.12511836152253136,2.0649380587951276e-09,True
Personal Comfort,0.03851763545475665,0.03394454818205884,0.06468953939963268,False
Innovation & Thrills,-0.10922531198150401,-0.09252359141628673,1.143937546979896e-06,True
Family Appeal,-0.07283528321835338,-0.05945163948970177,0.0008291106927607039,True
